epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,202.9,1.51344,1.11738,0.00313,0.80773,0.78214,0.87502,0.59065,1.33604,0.89725,0.00423,0.0010659,0.0010659,0.0010659
43,207.629,1.49333,1.09044,0.00312,0.83845,0.76604,0.87978,0.58663,1.38819,0.90039,0.00443,0.0010648,0.0010648,0.0010648
44,211.501,1.6302,1.12234,0.00315,0.86516,0.78204,0.87146,0.5802,1.3935,0.92944,0.00445,0.0010637,0.0010637,0.0010637
45,215.303,1.54341,1.12026,0.00316,0.82174,0.81588,0.87571,0.59079,1.40663,0.90101,0.00445,0.0010626,0.0010626,0.0010626
46,220.214,1.62338,1.09716,0.00312,0.85626,0.79284,0.88245,0.58934,1.39051,0.87747,0.00439,0.0010615,0.0010615,0.0010615
47,224.073,1.51565,1.05154,0.00307,0.84881,0.8183,0.89585,0.59646,1.34183,0.90067,0.00429,0.00106041,0.00106041,0.00106041
48,228.015,1.57018,1.082,0.0032,0.87036,0.80702,0.89321,0.57442,1.41668,0.90576,0.00444,0.00105931,0.00105931,0.00105931
49,232.897,1.57949,1.08038,0.00326,0.84979,0.82528,0.90121,0.59254,1.36478,0.90682,0.00431,0.00105821,0.00105821,0.00105821
50,236.694,1.53669,1.04713,0.00317,0.84174,0.83847,0.89415,0.58807,1.41769,0.91334,0.0044,0.00105711,0.00105711,0.00105711
51,240.508,1.53598,1.03104,0.00303,0.83004,0.81908,0.89146,0.58076,1.38867,0.8933,0.00433,0.00105601,0.00105601,0.00105601
52,245.405,1.49553,1.02137,0.00304,0.84188,0.79882,0.88562,0.59185,1.32215,0.89178,0.0041,0.00105491,0.00105491,0.00105491
53,249.121,1.51533,1.0105,0.00316,0.83497,0.80592,0.88938,0.59987,1.33562,0.84708,0.00418,0.00105381,0.00105381,0.00105381
54,253.106,1.46546,0.97276,0.00305,0.81148,0.82077,0.89243,0.5976,1.34295,0.90342,0.00427,0.00105271,0.00105271,0.00105271
